id;gum;es
4302;isubigwan Jesucristѳinug pasra pѳnrraig;Fe
4303;Tiuswei;Espíritu Santo
4304;chigѳben ambumay imay srua irramamѳ tab isua pasrab;Dominio propio
4305;Yu pirau misagwein gabyu larrѳ gaizheelѳ gѳnmab asha tѳgagúilanba, katѳ kaashib indiilanba, tru chigucha gѳmѳzheelѳ gúi asiilan, Tiusbe truilan lawa wesraig kѳn, tru nѳrreelan chigucha gѳmeelѳ mara gѳrrѳmartrab,;Dios ha escogido a la gente despreciada y sin importancia de este mundo, es decir, a los que no son nada, para anular a los que son algo.
4306;Inchawei, nai nunelѳ, tru ñimun wamab uras ñim mailѳ gѳbelѳ gúigwan isua asamig kѳn. Misaamerain gabyu kusrebelѳbe ñimbe ke kan gandѳwein gѳben, katѳ ashib karub purrabelѳ nѳrreelѳbe mamdѳ gѳben, katѳ tab misagugurri amrrub misaamerabe mamdѳ gѳn.;Hermanos, deben darse cuenta de que Dios los ha llamado a pesar de que pocos de ustedes son sabios según los criterios humanos, y pocos de ustedes son gente con autoridad o pertenecientes a familias importantes.
4307;Trune Tius tru wamiilayasiibe, judíѳsmerai lata, griegѳsmerai lata, Cristѳbe tru Tiuswei maramburab mariiba katѳ Tiuswei tru muguen nebua kusremgaig kusreiba, truig kѳn.;pero para los que Dios ha llamado, sean judíos o griegos, este Mesías es el poder y la sabiduría de Dios.
4308;Kaguende judíѳsmerabe kan mѳg Tius nѳba pasrain gúi ashchai mariilan miaben, griegѳsmerabe tru purѳ nѳrrѳ gusreeg wamindiilan mѳrѳg kui inchibelѳ gѳn.;Los judíos quieren ver señales milagrosas, y los griegos buscan sabiduría,
4309;¿Pѳs, tru purѳ gusrebiiba, katѳ kusrennѳbiiba, katѳ mѳi i gwalѳm nѳrrѳ kusrewa treeg, rreeg kѳn chibelѳbabe chu bѳnrrah? ¿yu pirau chine purѳ nѳrrѳ kusreegwane chugúinguen mѳrmubendѳ marig, Tiusbe treeg mara tѳgagѳmuitarru?;¿En qué pararon el sabio, y el maestro, y el que sabe discutir sobre cosas de este mundo? ¡Dios ha convertido en tontería la sabiduría de este mundo!
4310;Cristѳ tru kurusyu kwaigweimburab tru eshkab kusrenaniibe yandѳ tru kaigyu kegѳrra pѳnrrabelaimbe chigucha gѳmíig, ke chugúinguen mѳrmubendѳ wamindi lataig kѳn. Inchen nam yandѳ kaigyugurri wesrailaimbe tru wamindiibe Tiuswei tru maramburab marig, truig kѳn.;El mensaje de la muerte de Cristo en la cruz parece una tontería a los que van a la perdición, pero este mensaje es poder de Dios para los que vamos a la salvación.
4311;Katѳ Estéfanaswei yauelandѳbe piu umbu ulsrѳbwei indig kѳn. Inchendѳ katѳgan mas mungucha piu umbu ulsraibe nane isumѳtan;También bauticé a la familia de Estéfanas, pero no recuerdo haber bautizado a ningún otro,
4312;Namui Mѳskai Tiusweimba, Señѳr Jesucristѳimba tru ka yandѳ tab indigwan gѳben, chi isumgaig tab gѳbigwan gѳben ñim tѳgagѳnrrai inchar.;Que Dios nuestro Padre y el Señor Jesucristo derramen sobre ustedes su gracia y su paz.
4313;Na Pablѳ, Tius nan trendѳ treeg kѳnrrain gѳben, Cristѳ Jesús nѳashib karua ѳrig kѳnrrai wamig, nai nuneg Sóstenesba misra, i kilgawan pѳrar,;Pablo, llamado por voluntad de Dios a ser apóstol de Cristo Jesús, y el hermano Sóstenes,
4314;katѳ naguen treeg kѳmѳwatѳ Cristѳ nѳashib karua ѳriilan payrrab Jerusalénsrѳmay nebimѳwei indig kѳn. Treeg inchimѳtѳ, Arabia birausrѳmay ya, trugurrimbe katѳle Damascѳsrѳmay arrig kѳbig kѳn.Indiibe yandѳ pѳn bila puraiben, Jerusalénsrѳ nabe Pedrѳba waminchab ya, trusrѳ nѳba parru kѳrrѳmisrѳbig kur.;Tres años después fui a Jerusalén para conocer a Cefas, con quien estuve quince días.
4315;katѳ naguen treeg kѳmѳwatѳ Cristѳ nѳashib karua ѳriilan payrrab Jerusalénsrѳmay nebimѳwei indig kѳn. Treeg inchimѳtѳ, Arabia birausrѳmay ya, trugurrimbe katѳle Damascѳsrѳmay arrig kѳbig kѳn.;ni subí a Jerusalén a los que eran apóstoles antes que yo, sino que fui a Arabia, y volví de nuevo a Damasco.
4316;Inchendѳ Tiusbe nane nai usrai patsѳ umbu wabenbatѳsrѳwei nane tarѳmara, nui ka yandѳ tab indiitѳgatѳ nane wamig kѳn. Incha nun tabig asѳnaben,;Pero cuando agradó a Dios, que me apartó desde el vientre de mi madre, y me llamó por su gracia,
4317;Kaguende ñimbe manawei nane wammѳrѳbelѳ gúinrrun, judíѳsmera Tiusweyasig maig maramelѳyu, na trunun marѳb uñib uras na merrabsrѳ maig inchib uñibig kuigwan: kan namig kѳbiitѳ ¡gatѳ! chindinrrabna gúi inchib, Tiuswei iglesian kaig martrab wendautѳ llirab, nѳm tru treeg marѳb tѳgagúigwan kerriguwan pinishinrrab truba rruba inchib unig kѳbigwan.;Ustedes habrán oído decir cuál era mi conducta anterior en el judaísmo, y cómo perseguí con violencia a la iglesia de Dios y procuré destruirla.
4318;Nam ñimun eshkaigwan, mѳi katѳle katѳ nabe eshkanrrab inchar: tru ñim uti lataig kѳmѳtѳ, mѳikkѳben tru tabig srѳ wamwan yunѳmara peemaytѳ eshkab kusrenanѳbiibe, managatig trѳmbѳig nebuig pasrѳnrrai pasrig kѳbash cha.;Lo he dicho antes y ahora lo repito: Si alguien les anuncia un evangelio diferente del que ya recibieron, que caiga sobre él la maldición de Dios.
4319;Namui Tius Mѳskaimba, Señѳr Jesucristѳba nui ka yandѳ tab indigwan gѳben, chi isumgaig tab gѳbigwan gѳben ñimun tranrrun.;Que Dios nuestro Padre y el Señor Jesucristo derramen su gracia y su paz sobre ustedes.
4320;Ñimbe ñimashib ashibelѳ gѳben, katѳ Tiuskucha asha basran, nambe chishig newan tabig, sѳlgandѳ maig maramigwan marѳb, katѳ muguen chi tamgaig amѳnaig kѳbigwan, ñim Cristѳn kѳrebelai utu.;Ustedes son testigos, y Dios lo es también, de que nuestra conducta fue limpia, justa e irreprochable con ustedes los creyentes.
4321;Inchen tru ángel pѳn gѳnrrabyuig nui trѳmpetan urrѳbene, kan truba nu estrella srѳmbalasrѳngurri nu nag tulu lataig naarab peñippe, pimera kuimѳrig nѳrrѳ bimeran gѳben, katѳ kѳlѳmѳ bi gallabzheelan gѳben, mayamba pѳngatѳyu partѳ, partѳ ka gѳrrѳmisren, kane itѳbenig kѳrrѳmisrѳbig kѳn.;El tercer ángel tocó su trompeta, y una gran estrella, ardiendo como una antorcha, cayó del cielo sobre la tercera parte de los ríos y sobre los manantiales.
4322;Ubishaunѳ tru siete gѳnrrabyu sellѳn kѳlsra kurene, srѳmbalasrѳmbe kan media ura wasrѳnzhig kѳrrѳmisrѳbig kѳn.;Cuando el Cordero rompió el séptimo sello del rollo, hubo silencio en el cielo durante una media hora.
4323;Incha trendaimѳrig tru kѳlli misaamera veinticuatrѳelѳbe nui merrab tѳmbѳnsrѳb sralѳptѳ sralѳbelѳ gѳn kѳriibala tabig waminchab tru managatig ѳsig wabigwan. Incha nѳmui cѳrѳnameran tru nѳ karub wainug merrab trenchib petabelѳ gѳn:;los veinticuatro ancianos se postraban ante el que está sentado en el trono, adoran al que vive para siempre y arrojaban sus coronas a los pies del trono diciendo:
4324;Inchen tru pibgatѳ ѳsiguelѳbe mѳitѳgucha kwaldzariimera seisbatѳ tѳgar, truilѳbe wambiimay, umbumay kabmeratѳ netseelѳ, yem gwalѳm ѳyah tamigwane pinѳmѳ, trenchibelѳ gѳn: Newan tabig, newan tabig, newan tabig Señѳr Tius Newan Maramburab Marѳbig, tru kѳbig, mѳi ya wabig, tru attrabig chib.;Cada uno de los cuatro seres vivientes tenía seis alas, y estaban llenos de ojos por fuera y por dentro. Y día y noche proclamaban sin cesar: Santo, santo, santo, Señor Dios todopoderoso, el que era, el que es y el que está a punto de llegar.
4325;Inchen tru karub waig merrappe kan mar wabig kѳn, bigriu tѳrguelarrѳzhig lataig. Tru karub wainug pѳtѳgatanbe merrabmayba, wendaumayba, pinrrѳ mendamayba pibgatѳ ѳsiguelѳ pѳnrrabelѳ gѳn, truilѳbe merrabmayba, wendaumayba kabmeratѳ netseelѳ.;Delante del trono había también algo que parecía un mar, transparente como el cristal. En el centro, donde estaba el trono, y a su alrededor, había cuatro seres vivientes llenos de ojos por delante y por detrás.
4326;Tru wamisra karub waim bѳtѳgatanbe wamisra karub purrailѳ katѳgan veinticuatrѳ pѳnrrai ashibig kur. Truilѳyube kѳlli misaamera veinticuatrѳ purrabelѳ gѳn, pulѳzheelѳ kewar, nѳmui turyube cѳrѳna ѳrѳtѳga mariilѳ petsargue.;también alrededor del trono vi otros veinticuatro tronos, en los cuales estaban sentados veinticuatro ancianos: iban vestidos de blanco y llevaban una corona de oro en la cabeza.
4327;Inchen na iigwan martrai karua basriibe iig kѳn: tru manrrau chishchigugurrimba, isub kebachib pasrabigu chi kalѳ gѳn chibig chigaig, tabigugurrimba, katѳ isubigwan Jesucristѳinuutѳ ka inchib gѳmѳ, ciertѳn basra tѳgagúigugurrimba undag kѳbig arrubiitѳga undaaramig.;El propósito de esa orden es que nos amemos unos a otros con el amor que proviene de un corazón limpio, de una buena conciencia y de una fe sincera.
4328;Na Macedѳnia birausrѳmay inrrab pasramisra, tiusmanda ñune Efesѳ kѳrrѳmisrtra cha eshkaig kѳbig kuig kѳn, tru mѳilѳgѳsrѳn sѳlwan gѳmѳ, ke peemaytѳ gusrenaniilѳtѳga kusrenanѳbelan treegwan kusrenanmѳnrrai merab ashib pasrѳnrraimba,;Como ya te rogué al irme a la región de Macedonia, quédate en Éfeso, para ordenar a ciertas personas que no enseñen ideas falsas
4329;Na Pablѳ Jesucristѳ nѳashib karua ѳrig, Tius namui Kaigyugurri Wesrabiiba, Cristѳ Jesús, tru nam nundѳ isua munig melaig truiba karua basrig,;Pablo, apóstol de Cristo Jesús, enviado por mandato de Dios nuestro Salvador y de Cristo Jesús, nuestra esperanza,
4330;Inchawei trusreelѳtѳweinguen nam ñimuinug kebamben, mandѳ tab wamab utig kѳbigwan waminchibelѳ gѳn, katѳ tru ѳsig wab Tius ciertѳnigweiwan marѳb pѳnrrѳnrrab, tru taska mari tiusmeran wendѳbasra, Tiusweimay ñim mandѳ lliraigwanba,;Al contrario, ellos mismos hablan de nuestra llegada a ustedes y de cómo ustedes abandonaron los ídolos y se volvieron al Dios vivo y verdadero para servirle
4331;ѳyamay ñimbe Macedѳnia birauba, Acaya birauba mayeelѳ Cristѳn kѳrebelaimbe, truilѳguen asha kusremdiig ñimbe treelѳ misrin gѳn.;De esta manera llegaron a ser un ejemplo para todos los creyentes en las regiones de Macedonia y Acaya.
4332;katѳ tru nam nun kѳrebelainug maramburab marѳbiibe, purѳ nuig kѳbig kuin gúi nebua ashchaimba, miabig kur. Inchen tru nui purѳ nuig maramburab marѳb pasrabiibe,;y cuán grande y sin límites es su poder, el cual actúa en nosotros los creyentes. Este poder es el mismo que Dios mostró con tanta fuerza y potencia
4333;Nabe tru namui Señѳr Jesucristѳi Tius tru tѳrguegwalmab Mѳskawan miabig kur, ñimun Espíritu Santѳgurri ѳyeegwan trannrrai, kusrebelѳ gѳmigwanba, katѳ nebua asiimíigwan tѳrgandѳ tab chigúi nebua ashchaimba, newan nun tab nebua asamig kѳnrrai.;Pido al Dios de nuestro Señor Jesucristo, al glorioso Padre, que les conceda el don espiritual de la sabiduría y se manifieste a ustedes, para que puedan conocerlo verdaderamente.
4334;Truibe tru namuimburabig kѳnrrabigwan ketig utamig kѳnrrai katsiibasra tranѳbguen indig truig kѳn, tru Tius nuyasig tѳgagѳnrrab wesrailan ke tab webamba pѳnrramnegatig, nui tѳrguegwalmabigwan maya nuguen tabig wamindamig kѳnrrai.;Este Espíritu es el anticipo que nos garantiza la herencia que Dios nos ha de dar, cuando haya completado nuestra liberación y haya hecho de nosotros el pueblo de su posesión, para que todos alabemos su glorioso poder.
4335;Mayeelaim bala nѳm asha garubelaim bala gѳben, katѳ mugucha manchinrraingaig karubelaim bala gѳben, katѳ maramburab marѳbelaim bala gѳben, katѳ maya misagwan nѳm asha garubelaim bala gѳben, nѳrrѳ gusrebelѳ gúikkurri nѳrrѳ munchimera tѳgagѳnrrai traniilaim bala gѳben, kerrigu iilaim bala nun wannig kѳn, mѳi i gwalѳmweindѳ gѳmѳtѳ, katѳ wendѳsrѳ attrabiguwein chigucha.;poniéndolo por encima de todo poder, autoridad, dominio y señorío, y por encima de todo lo que existe, tanto en este tiempo como en el venidero.
4336;¿Chintermapene?;¿Qué ha pasado?
4337;Tun, Tun, Tun,;Tun, Tun, Tun,
4338;Nu pí kullusrѳmpe;De repente en el rio
4339;yee kѳtrisrap utren;Interpreta con emoción
4340;luswan;La flauta
4341;shurpe;El abuelo
4342;Lѳtsѳ pѳñi lutemai trashen;El chiwaco canta sin parar
4343;Yalѳrap;ennegrecer
4344;Ser wap;mojarse
4345;Tuktuk;sapo
4346;Mau;guagua
4347;Lѳstik;oscuro
4348;Yupiñi;manzana
4349;Trarik;sancudo
4350;Usrѳ pѳñinkau;mariposa gris
4351;Ser pѳñinkau;mariposa de invierno
4352;Nѳrap pѳñincau;polilla
4353;Trerѳ pѳñinkau;mariposa podrida, muerta o color terracota
4354;Ѳskѳ pѳñinkau;mariposa amarilla
4355;Pikѳ peñinkau;mariposa roja
4356;Wsrѳ;águila
4357;Mish;gato
4358;Tsanaulli;moto
4359;Mintiship;amordañar
4360;Waara;ambiciosovaca
4361;Pichil;crespo
4362;Wamsrup;celular
4363;IlliMichi;lleno
4364;Pѳsrik;sudor
4365;Pulu;cerca
4366;Nѳtiik;soltero
4367;KanLata;igual
4368;Nak;candela o fuego
4369;Srulѳ;armadillo
4370;Atsi;árbol de maíz
4371;Ul tsunSre;lluvia
4372;Señѳr Jesucristѳi usri;Virgen María
4373;Tiusweimburabelѳyu chigúingucha tarѳmisrmѳ, melabig melab;Perseverancia ver también Paciencia
4374;Tius nѳ chi martrai karua pѳnsrailan mѳra marѳb;Obediencia
4375;Cristѳn ashibiibe yu pirau nun ashmѳ misaaba mandѳ pasramig;Mundo la relación del cristiano al mundo
4376;sralѳ;Esposas
4377;Señѳr Jesucristѳn kѳremeelan mѳra pѳnrrѳnrrai chu pѳnsrailѳ kѳmig;Juicio de los incrédulos
4378;Tiuswei Espíritu Santѳ;Espíritu Santo
4379;kwanrrѳmera;Enfermedades
4380;Pѳs nabe trenchinrrab inchar, mѳilѳgѳsrѳn ñimbe trenchibrren gѳn dan cha: Nabe Pablѳingatiig kur chiben, katѳgane: Apѳlѳsweingatiig kur chiben, katѳgane: Nabe Cefasweingatiig kur chiben, katѳgane: Cristѳingatiig kur chib. Treeg inchib gѳn dan cha.;Quiero decir, que algunos de ustedes afirman: Yo soy de Pablo, otros: Yo soy de Apolo, otros: Yo soy de Cefas, y otros: Yo soy de Cristo.
4381;Tiusweiwan marѳbelѳ gѳmigwan keta tranig chigucha chi palѳmeelѳ gѳmnegatikke, Jesucristѳ kenamisramigwan ñim munig melappe.;De este modo no les falta ningún don de Dios mientras esperan el día en que aparezca nuestro Señor Jesucristo.
4382;Na Pablѳ Jesucristѳ nѳashib karua ѳrig, mu mѳguelѳ nѳmuimburab karua ѳrig kѳmѳwei, mu katѳgan inrraincha karua basrig kѳmѳwein gur. Treeg kѳmѳtѳ, Jesucristѳba, katѳ Tius Mѳskai Jesucristѳn kwailai utugurri ѳsiirangarubiiba karua ѳrig kur.;Pablo, apóstol no enviado ni nombrado por los hombres, sino por Jesucristo mismo y por Dios Padre que resucitó a Jesús,
4383;Incha nambe amrrunrrab inchib melaig kѳn. Na Pablѳbe, katѳ gatѳ attrab inchib megaben, Satanásbe namun chigѳben ilѳsrka bѳnsrѳbig kѳn.;Intentamos ir, por lo menos yo, Pablo, quise hacerlo varias veces, pero Satanás nos lo impidió.
4384;tru judíѳs kѳmѳ misaameran kaigyugurri wesrailѳ gѳnrrai waminchab inchen, waminchamamѳnrrab namun merab. ѳyamay nѳmui kaig mariilane katѳguchinguen gatѳguchinguen nemarѳb ambubelѳ gѳn. Inchendѳ Tiuswei namig kѳbig arruppe, nѳmuim bala purab nuig attrab gѳn.;pues cuando queremos hablar a los que no son judíos, para que también se salven, no nos dejan hacerlo. De esta manera llenan siempre la medida de sus pecados. Pero para poner fin a eso, el terrible castigo de Dios ha venido sobre ellos.
4385;Kaguende ñim, nai nunelѳ, tru Judea birausrѳ Tiuswei iglesiamera tru Cristѳ Jesúsweinug kanbalatѳ pѳnrrabelѳ lataitѳwei nebuinab melaig kѳn. Ñimungucha ñimuim birau misaameratѳwei truba rruba kaig indinab melamig nebuig kѳn, tru Judea birauelan nѳm judíѳsmera kaig indinab melab lataitѳweingue.;En efecto, hermanos, también ustedes se han hecho imitadores de las iglesias de Dios que están en Judea y pertenecen a Cristo Jesús, pues ustedes han padecido por parte de sus propios conciudadanos lo mismo que ellos por parte de los judíos
4386;Tru maig maramigwan martrai Mѳisés pѳrigwane ke nѳm gusrenanѳbelѳ gѳg kui inchibelѳ gѳn, nѳm wamindigwane nѳmdѳweinguen ni chigúinguen mѳrmѳwei, katѳ iibe treeg kѳmѳnrrab gѳmѳ, treeg kѳn chib wamindiilan chigucha chigúinguen mѳrmѳwei inchendѳ.;Quieren ser maestros de la ley de Dios, cuando no entienden lo que ellos mismos dicen ni lo que enseñan con tanta seguridad.
4387;Tru srѳsrѳ ke nammerrig Cristѳn muniirab melabelѳ gúikkurri, tru nui tѳrguegwalmabigwan namgurri maya nuguen tabig wamindig kѳnrrai.;Y él ha querido que nosotros seamos los primeros en poner nuestra esperanza en Cristo, para que todos alabemos su glorioso poder.
4388;tru treeg maram gwalѳmmera pubene, trunun treeg maramig pasrѳnrrai: tru srѳmbalasrѳ chi pѳnrrabigwan lata, katѳ pirauigwan lata kanbalatѳ mara, maig maramigwan Cristѳ kerriguwan nѳ asha martrai pѳnsrѳnrrab.;llevando su proyecto salvador a su plenitud al constituir a Cristo en cabeza de todas las cosas, las del cielo y las de la tierra.
4389;Tru ka yandѳ tab indigwan tranѳppe, Tius namun tѳgagѳmburab tѳgagѳnrrai tranig kѳn, tru chiwandѳgucha nam purѳ tab asha maram gusrebelѳ gѳmigwanba, katѳ tѳrgandѳ chigúi mѳrѳbelѳ gѳmigwanba.;que Dios derramó abundantemente sobre nosotros con gran sabiduría e inteligencia.
4390;Nuinug nambe nui aningurri nuielѳ gѳnrrai kaigyugurri wesrailѳ guer, namui kaig mariilan ulѳ bayimeelѳ, Tiuswei tru ka yandѳ tab indig tѳgagѳmburab tѳgagúig truig maig kѳben treeg.;Con su muerte, el Hijo nos ha obtenido la redención y el perdón de los pecados, en virtud de la riqueza de gracia
4391;tru nui ka yandѳ tab indig purѳ nuig purѳ tabigwan maya nuguen tabig wamindamig kѳnrrai, tru nui truba undaaraig Nusrkaingurri namun ke ka yandѳ tab indig tranigwan.;y ser así un himno de alabanza a la gloriosa gracia que derramó sobre nosotros, por medio de su Hijo querido.
4392;Pѳs Tiusbe tru chigurrimbunѳ pѳnrrabigwan nѳ mara pѳnsrѳmѳwatѳ manasrѳwei namune Cristѳgurri tarѳmara wesraig kѳbig kѳn, tabigweindѳ tarѳmariilѳ, kaig mariitѳga chillig inchar gѳmeelѳ, nui merrab pѳnrramig kѳnrrai.;Dios nos escogió en Cristo desde antes de la creación del mundo, para que fuéramos santos y sin defecto en su presencia. Por su amor,
4393;Tius namui Mѳskaimba, namui Señѳr Jesucristѳba tru ka yandѳ tab indigwan gѳben katѳ chi isumgaig tab gѳbigwan gѳben, ñimun tranrrun.;Que Dios nuestro Padre y el Señor Jesucristo derramen su gracia y su paz sobre ustedes.
4394;Incha nane kѳrig isutan na ñimun gatѳ ashchab puben, Tiusbe ñimui merrab nan kѳrig burѳѳren, truba yamelaimburѳ nan kisamig nebunrraitamab isua, tru merrabwan nѳmui kѳsѳngѳnrraptiig mariilanba, mѳguelѳba, ishumburmeraba trѳmbѳig mariilanba, mu mandiimíig chi marѳg kѳben trѳmbѳig maramitѳ srua ambiilanba isua mѳrmuin gѳben.;Temo también que, en mi próxima visita, mi Dios me haga sentir vergüenza de ustedes, y que me haga llorar por muchos de ustedes que desde hace tiempo vienen pecando y no han dejado la impureza, la inmoralidad sexual y los vicios que practicaban.
4395;Nambe ñimui merrab ka tab wegѳrrag kѳptѳrre inchib pѳnrrabelѳ gúi, ¿ñimbe katѳgucha mѳi ѳyangatig kabe treeg asѳnain bѳnrrѳgueh? Treeg kѳmѳtѳ, nambe waminchippe, Cristѳinug pѳnrrabelѳ gúi asamdiig Tiuswei merrab waminchib pѳnrrer. Inchen nam kerrigu mariilѳbe, ñim, nai undaarailѳ, Tiusweimburab ñim nѳrrѳrab amrrain gѳn.;Tal vez ustedes piensen que nos estamos disculpando ante ustedes, pero no es así. Al contrario, estamos hablando en presencia de Dios y como quienes pertenecen a Cristo. Y todo esto, queridos hermanos, es para edificación de la comunidad.
4396;¿Kabe na tru mѳilan gѳsrѳn na ñimuisrѳmay karua ѳriilѳtѳga chi isa gѳben, kabe ñimun chi wesrabraig kѳ chindah?;¿Acaso los exploté por medio de alguna de las personas que les he enviado?
